이름,성별,전화번호,나이,현재 체중,목표 체중,키,회원 가입일,회원 정보 갱신일,흡연 여부,음주 여부,가입 개월 수,개인상담 요청
강수아,여,010-5116-6157,27,61,60,166,2018년 02월 24일,2018년 02월 24일,아니오,월 1회,0개월,아니요
강우진,남성,01084746937,,0,0,179,2018년 02월 12일,2018년 02월 12일,예,주 1회,0개월,아니요
장주원,남,010-6644-4285,38,0,0,175,2018년 02월 21일,2018년 02월 21일,아니오,주 1회,0개월,아니요
임성민,male,010-8976-6841,81,79,69,173,2018년 02월 16일,2018년 02월 16일,아니오,안 마심,6개월,아니요
한승빈,여,01094654979,33,63,61,175cm,2018년 01월 01일,2018년 03월 05일,아니오,월 1회,3개월,아니요
정솔아,Female,010-2775-9644,35,58,48,172,2018년 01월 10일,2018년 02월 16일,아니오,월 2회,0개월,예
권재빈,남,010-2895-1531,44,75 kg,66 kg,172,2018년 02월 17일,2018년 02월 17일,아니오,월 2회,3개월,아니요
허시빈,남성,010-3976-6682,29,0,0,0,2018년 02월 04일,2018년 02월 04일,아니오,월 2회,0개월,아니요
한채윤,여,010-5284-2474,31 세,0,0,168,2018년 02월 22일,2018년 05월 16일,예,월 2회,0개월,아니요
최승혜,여성,010-4264-7266,34,63,55,157 cm,2018년 02월 07일,2018년 02월 07일,예,주 2회,0개월,아니요
송주훈,남,010-2847-1993,32,77 kg,69 kg,172,2018년 01월 16일,2018년 01월 16일,아니오,안 마심,0개월,아니요
신지호,남성,010-9279-8294,31,79,73,186 cm,2018년 01월 27일,2018년 01월 27일,아니오,월 1회,0개월,아니요
박준성,male,01066859596,28,76,69,0,2018년 02월 01일,2018년 02월 01일,아니오,월 1회,0개월,아니요
허채정,여성,010-1434-4319,27,60 kg,59 kg,164,2018년 01월 03일,2018년 01월 03일,아니오,주 2회,0개월,예
김유신,남,01059783881,30,82,79,176,2018년 01월 18일,2018년 01월 18일,예,월 2회,0개월,아니요
박솔아,Female,unknown,25,60,57,165,2018년 02월 20일,2018년 02월 20일,아니오,월 1회,0개월,아니요
장승하,여,01029671839,30 세,0,0,159,2018년 01월 28일,2018년 01월 28일,아니오,월 2회,3개월,아니요
송재호,남성,010-4921-4612,33,82,73,173,2018년 01월 13일,2018년 01월 13일,아니오,주 2회,0개월,아니요
최지안,여성,01048463991,34,56,54,161,2018년 02월 23일,2018년 03월 04일,아니오,월 1회,0개월,아니요
이은찬,남성,010-1111-7776,38세,80,74,177,2018년 02월 26일,2018년 02월 26일,예,주 1회,0개월,아니요
오지연,여성,010-2271-1626,32,58,49,170,2018년 02월 23일,2018년 02월 23일,아니오,주 1회,0개월,아니요
양동영,남성,01013451225,33,81,80,185,2018년 02월 18일,2018년 02월 18일,아니오,주 1회,3개월,아니요
정현우,남성,010-8697-4279,34,0,0,176,2018년 02월 04일,2018년 02월 04일,아니오,주 1회,0개월,아니요
전도원,남성,unknown,37,79,78,175,2018년 01월 14일,2018년 01월 14일,아니오,월 2회,0개월,아니요
손민서,남성,unknown,36,75,70,182,2018년 02월 02일,2018년 02월 02일,예,월 2회,0개월,아니요
황은섭,남성,010-8341-1636,40 세,79,69,0,2018년 02월 06일,2018년 02월 06일,아니오,월 2회,3개월,아니요
홍슬지,여성,010-8341-8548,105 세,62,55,168,2018년 02월 17일,2018년 02월 17일,아니오,월 2회,0개월,아니요
홍성엽,남,01032474428,43,82 kg,73 kg,174 cm,2018년 01월 17일,2018년 03월 09일,아니오,주 1회,0개월,아니요
문동훈,남성,010-5211-1567,,77,73,184 cm,2018년 01월 27일,2018년 01월 27일,아니오,월 1회,0개월,아니요
최은오,남,010-4596-3621,32,79,78,172,2018년 01월 20일,2018년 01월 20일,예,월 1회,0개월,아니요
홍현후,남성,01039187952,21,83,74,177,2018년 02월 21일,2018년 02월 21일,아니오,월 1회,0개월,아니요
임지민,남성,010-4559-6472,32,82,74,177,2018년 02월 02일,2018년 03월 27일,아니오,주 2회,0개월,아니요
양승하,여성,01089234694,30,58,54,172cm,2018년 01월 08일,2018년 01월 08일,아니오,월 1회,0개월,아니요
김주찬,남,010-2198-8181,36,81,75,181,2018년 02월 04일,2018년 02월 04일,예,주 1회,3개월,아니요
한서진,여,010-3481-2227,28,60,52,163,2018년 01월 09일,2018년 01월 09일,아니오,주 2회,0개월,아니요
최준원,male,01071213496,34,76,75,182,2018년 02월 10일,2018년 02월 24일,예,월 2회,6개월,아니요
송서영,여,010-1646-8835,27,0,0,163,2018년 01월 18일,2018년 01월 18일,아니오,월 2회,0개월,아니요
박솔은,여성,010-7782-6396,33,61,53,168,2018년 02월 11일,2018년 03월 10일,아니오,주 1회,0개월,아니요
안이황,남성,010-8844-9823,,81,77,176,2018년 01월 31일,2018년 01월 31일,아니오,월 2회,0개월,아니요
윤슬은,여성,010-2129-5885,18,57,55,0,2018년 02월 03일,2018년 04월 23일,아니오,주 2회,0개월,아니요
황슬아,여성,010-3527-1967,,59kg,52kg,164 cm,2018년 01월 22일,2018년 03월 08일,아니오,월 1회,0개월,아니요
홍소희,여성,010-1544-7965,33,61,60,169,2018년 01월 15일,2018년 01월 15일,예,주 1회,6개월,아니요
윤동율,male,010-3331-5634,38,76,68,183,2018년 01월 28일,2018년 04월 22일,아니오,주 1회,0개월,아니요
문윤오,Male,010-5174-3884,34,77,72,165,2018년 01월 22일,2018년 02월 16일,아니오,월 1회,0개월,아니요
조슬지,여성,01091759641,,60,56,171cm,2018년 02월 04일,2018년 02월 04일,예,월 1회,0개월,아니요
류동은,남성,010-7772-3765,29,80,76,171,2018년 02월 02일,2018년 04월 07일,아니오,주 2회,6개월,아니요
이세아,여,01086233511,26세,63,57,168 cm,2018년 02월 28일,2018년 02월 28일,아니오,월 1회,0개월,아니요
배현후,남성,unknown,32,78,70,0,2018년 01월 14일,2018년 01월 14일,예,주 1회,0개월,아니요
정지예,여,01034499956,25,53,50,162,2018년 02월 15일,2018년 02월 15일,예,월 2회,0개월,아니요
전지예,여성,010-5985-3215,33,60,53,174cm,2018년 01월 01일,2018년 01월 01일,아니오,월 1회,3개월,아니요
윤소연,여성,010-2873-4149,33,59,52,171,2018년 01월 18일,2018년 01월 18일,아니오,월 2회,0개월,아니요
고승환,남,010-4926-1299,42 세,75kg,73kg,175 cm,2018년 02월 21일,2018년 05월 25일,아니오,월 1회,0개월,아니요
허서은,여성,unknown,31,56kg,52kg,168,2018년 01월 24일,2018년 02월 16일,아니오,월 2회,0개월,아니요
서주혁,남,01026595882,33,74,69,188,2018년 01월 11일,2018년 01월 17일,아니오,주 1회,0개월,아니요
양승아,여성,01052356141,30,57 kg,51 kg,169,2018년 02월 02일,2018년 05월 06일,아니오,월 2회,0개월,아니요
오태윤,남,01069141457,35,76,68,180cm,2018년 01월 12일,2018년 01월 12일,예,월 2회,0개월,예
허슬은,female,010-4272-6317,38,63,62,167,2018년 01월 30일,2018년 01월 30일,아니오,안 마심,0개월,아니요
류승희,여성,01012656739,28,0,0,168,2018년 02월 17일,2018년 05월 15일,아니오,월 1회,0개월,아니요
권서영,여,unknown,33,58,49,170,2018년 02월 26일,2018년 02월 26일,아니오,주 1회,12개월,아니요
조수현,Female,01093596127,28,58,48,171,2018년 02월 16일,2018년 02월 16일,아니오,주 1회,0개월,아니요
전지은,여,010-8564-2162,26,54,45,168,2018년 02월 07일,2018년 02월 07일,아니오,월 2회,0개월,아니요
이슬윤,여,010-7385-8814,30,65,55,166,2018년 01월 06일,2018년 01월 06일,아니오,안 마심,12개월,아니요
유영준,남성,01069853129,31,31,24,175,2018년 02월 10일,2018년 02월 10일,예,주 2회,0개월,아니요
정수인,female,010-9698-7533,26,57,47,159,2018년 01월 26일,2018년 01월 26일,아니오,월 2회,0개월,아니요
강민성,남성,010-4626-9761,37,81,74,171,2018년 01월 17일,2018년 01월 17일,아니오,주 1회,6개월,아니요
권승환,남,010-5744-6855,43,0,0,169,2018년 01월 20일,2018년 01월 20일,아니오,주 1회,3개월,아니요
강은후,남,01041389531,33,0,0,178,2018년 02월 12일,2018년 02월 12일,아니오,월 1회,0개월,아니요
문원훈,남성,01031934294,26,77,68,173 cm,2018년 01월 12일,2018년 04월 02일,예,주 1회,6개월,아니요
문솔민,여성,010-7576-3464,39,60 kg,59 kg,166,2018년 01월 06일,2018년 01월 06일,예,주 1회,0개월,아니요
오선영,여성,01063871695,34,57,50,165,2018년 02월 26일,2018년 05월 04일,예,주 1회,3개월,아니요
신지아,여성,010-5157-3988,39,57,48,161,2018년 01월 06일,2018년 03월 17일,아니오,월 1회,0개월,아니요
이준후,남,010-1954-1924,39,80,72,173,2018년 01월 31일,2018년 01월 31일,아니오,주 1회,3개월,아니요
전세아,여성,010-6255-7853,28,63kg,54kg,169,2018년 02월 17일,2018년 02월 17일,아니오,월 1회,3개월,아니요
전유현,남,01029539426,35,78,77,172,2018년 02월 08일,2018년 02월 08일,아니오,주 2회,0개월,아니요
고준영,남,unknown,27,82,81,0,2018년 02월 11일,2018년 02월 11일,아니오,월 2회,0개월,아니요
배채정,여성,010-5217-9915,32,62,60,171,2018년 02월 03일,2018년 02월 03일,예,안 마심,3개월,아니요
안지환,남,010-7158-5893,39,81,73,177,2018년 02월 15일,2018년 03월 23일,예,안 마심,3개월,아니요
강설민,Female,01028475322,26,55,47,174,2018년 01월 18일,2018년 01월 18일,아니오,월 1회,0개월,아니요
서윤찬,남,01083473543,40,80 kg,70 kg,174cm,2018년 02월 04일,2018년 04월 02일,아니오,월 1회,0개월,아니요
윤채현,여성,010-9693-3735,27,60,54,167,2018년 02월 28일,2018년 03월 19일,아니오,월 2회,0개월,아니요
류서현,여성,010-1115-9319,5,62,58,180,2018년 01월 19일,2018년 01월 19일,아니오,월 2회,3개월,아니요
조민규,남,010-5439-3837,26,78,77,107,2018년 02월 15일,2018년 05월 20일,예,월 2회,0개월,아니요
정성재,남성,01013487727,44,83 kg,81 kg,181,2018년 01월 02일,2018년 01월 02일,아니오,주 1회,3개월,아니요
김준영,Male,010-6211-3277,25,0,0,180,2018년 02월 18일,2018년 02월 18일,아니오,주 1회,0개월,아니요
허동율,남성,010-5597-1985,27,80,74,178,2018년 01월 07일,2018년 04월 15일,예,월 2회,0개월,아니요
배대규,남성,010-1416-8922,33세,77,69,175,2018년 01월 07일,2018년 01월 07일,아니오,주 2회,0개월,아니요
신원일,남성,010-4223-4517,36,80kg,78kg,182,2018년 02월 28일,2018년 02월 28일,아니오,월 2회,3개월,아니요
허성희,여,010-5526-7724,36,59,56,165,2018년 02월 14일,2018년 05월 13일,예,주 1회,0개월,아니요
유지안,Female,01076631183,32,56,48,165,2018년 02월 08일,2018년 02월 08일,아니오,주 2회,0개월,아니요
배성은,여성,unknown,36세,65,60,167cm,2018년 01월 01일,2018년 01월 01일,아니오,월 2회,0개월,아니요
배성원,남,010-2933-9584,42,84,82,178cm,2018년 01월 18일,2018년 01월 18일,예,주 1회,0개월,아니요
윤주호,남,010-7741-3138,37,75,67,176 cm,2018년 02월 18일,2018년 03월 29일,아니오,월 2회,0개월,아니요
조윤재,남,010-8266-5811,35,83,80,175,2018년 01월 22일,2018년 01월 22일,아니오,주 1회,0개월,아니요
허재준,남성,01018859276,29세,82,78,171cm,2018년 02월 23일,2018년 02월 23일,아니오,월 2회,0개월,아니요
류소희,Female,01058115621,37,60,55,162,2018년 02월 14일,2018년 02월 14일,아니오,주 1회,12개월,아니요
이솔희,여성,unknown,25,54,44,160,2018년 02월 28일,2018년 05월 26일,아니오,월 1회,0개월,예
유태연,남성,01036789588,29,81,76,167cm,2018년 01월 13일,2018년 01월 13일,아니오,안 마심,0개월,예
이준아,남성,010-5146-5639,35,77,70,181,2018년 01월 02일,2018년 01월 02일,아니오,월 1회,0개월,아니요
전준후,남성,010-6772-1177,2,78,77,177,2018년 02월 10일,2018년 02월 10일,아니오,월 2회,12개월,아니요
고민상,남,010-5613-5878,35,80,72,173cm,2018년 02월 26일,2018년 02월 26일,아니오,주 1회,3개월,아니요
문슬희,여성,010-2357-7639,26,62kg,53kg,176,2018년 02월 07일,2018년 02월 07일,예,안 마심,3개월,아니요
임효준,남,010-5732-7594,37,77,68,174,2018년 01월 19일,2018년 01월 19일,아니오,월 2회,0개월,아니요
양선희,여,010-9487-7593,35,53,49,176,2018년 01월 18일,2018년 04월 20일,아니오,월 1회,12개월,아니요
안태환,남성,01052596845,42,77kg,76kg,176,2018년 01월 24일,2018년 01월 24일,아니오,월 1회,0개월,아니요
"김지후,지혁",남성,01022217228,32,0,0,178,2018년 02월 26일,2018년 04월 09일,예,주 1회,3개월,아니요
황서윤,여성,unknown,41,133,125,163,2018년 02월 14일,2018년 05월 09일,예,주 2회,6개월,아니요
최지빈,남,010-4525-6297,,80,70,176,2018년 01월 14일,2018년 02월 22일,아니오,주 1회,3개월,아니요
오성희,남,010-2945-4391,29,79,70,173,2018년 01월 30일,2018년 03월 28일,아니오,주 2회,0개월,아니요
최찬영,남,010-5524-5574,34 세,0,0,173,2018년 01월 06일,2018년 03월 23일,아니오,월 2회,12개월,아니요
양선영,female,01051113887,34,56 kg,52 kg,161,2018년 01월 19일,2018년 01월 19일,아니오,주 2회,0개월,아니요
송슬비,여성,010-1659-8519,34,61 kg,60 kg,164,2018년 02월 12일,2018년 02월 12일,아니오,월 2회,0개월,아니요
서민준,남성,010-6252-6126,40,80,75,179,2018년 02월 17일,2018년 05월 13일,예,주 2회,0개월,아니요
한대연,남성,unknown,36,78,74,166,2018년 02월 01일,2018년 02월 01일,아니오,주 2회,0개월,아니요
안지영,여성,010-6985-2175,25,61,53,0,2018년 02월 22일,2018년 02월 23일,아니오,주 1회,0개월,아니요
배슬미,여성,01034482517,,54,44,0,2018년 01월 13일,2018년 01월 13일,예,주 1회,3개월,아니요
최초현,여성,01049716192,26,57,47,164cm,2018년 01월 11일,2018년 01월 11일,아니오,월 2회,0개월,아니요
김현준,male,010-2678-3414,48,80,79,175,2018년 02월 06일,2018년 02월 06일,아니오,주 1회,3개월,아니요
전재민,남,010-1828-7873,35,81,76,174,2018년 01월 18일,2018년 01월 18일,아니오,주 2회,0개월,아니요
장윤진,남성,01072641681,29,76kg,67kg,180,2018년 02월 06일,2018년 02월 06일,예,주 1회,0개월,예
임솔아,Female,01089416532,34,57,52,162,2018년 01월 24일,2018년 01월 24일,아니오,주 1회,0개월,예
손지호,male,010-1926-2277,31,76 kg,71 kg,175,2018년 02월 27일,2018년 02월 27일,예,월 2회,3개월,아니요
서찬우,Male,010-9385-8323,28,80,77,169cm,2018년 02월 18일,2018년 03월 29일,아니오,월 1회,3개월,아니요
김찬 율,남,unknown,28,79 kg,70 kg,178,2018년 02월 15일,2018년 04월 30일,아니오,월 1회,0개월,아니요
유승빈,남,010-6823-7712,25 세,80,79,171,2018년 01월 17일,2018년 01월 30일,아니오,월 2회,6개월,아니요
류슬민,여성,unknown,36,56 kg,53 kg,160,2018년 01월 15일,2018년 01월 15일,아니오,월 2회,3개월,아니요
조장우,male,010-9795-8696,32세,80,70,0,2018년 01월 21일,2018년 01월 21일,아니오,월 2회,0개월,아니요
윤이훈,남성,010-2144-8129,28,75,72,171,2018년 01월 29일,2018년 01월 29일,아니오,주 1회,3개월,아니요
양재현,남성,010-2555-8892,35,77,70,172,2018년 01월 23일,2018년 02월 11일,아니오,월 1회,3개월,아니요
이주호,Male,010-9599-1154,31,80,74,177,2018년 01월 13일,2018년 03월 07일,예,안 마심,6개월,아니요
박송후,남,010-3481-3715,32 세,83,81,178 cm,2018년 02월 13일,2018년 02월 13일,예,안 마심,0개월,아니요
배채안,여,010-4652-4653,30,57,48,164,2018년 01월 30일,2018년 01월 30일,아니오,월 2회,0개월,아니요
장영재,남성,010-7773-2486,33,77,67,173,2018년 02월 27일,2018년 05월 08일,아니오,주 2회,0개월,아니요
최이황,남,010-6792-4551,27세,135kg,133kg,178cm,2018년 02월 10일,2018년 02월 10일,예,안 마심,0개월,아니요
송솔비,여,01035151391,26,62,57,163,2018년 02월 28일,2018년 02월 28일,예,안 마심,12개월,아니요
황성연,여성,unknown,27,58,57,165,2018년 02월 01일,2018년 03월 22일,아니오,월 2회,0개월,아니요
조원준,남성,010-1631-4589,32,80,72,171cm,2018년 02월 26일,2018년 02월 26일,아니오,안 마심,0개월,아니요
안성은,여,010-9172-5122,23 세,65,62,176 cm,2018년 02월 06일,2018년 02월 06일,아니오,월 1회,0개월,아니요
이은준,남성,unknown,,87kg,77kg,0,2018년 02월 02일,2018년 02월 02일,아니오,월 2회,0개월,아니요
백채민,여,010-3922-2868,26,60,58,167,2018년 01월 10일,2018년 01월 10일,아니오,월 2회,0개월,아니요
송지현,여성,01019178893,36,57,51,170,2018년 01월 03일,2018년 01월 03일,예,월 1회,0개월,아니요
조이준,남,010-2516-4279,,80,73,219,2018년 01월 22일,2018년 01월 22일,아니오,월 2회,0개월,아니요
황슬윤,female,01012377381,40 세,58,52,170,2018년 01월 04일,2018년 04월 11일,아니오,월 1회,0개월,아니요
임슬미,여,010-6616-1491,30,62,60,166,2018년 02월 28일,2018년 06월 05일,예,월 2회,0개월,아니요
안연우,남,010-8795-4359,41,79,77,178,2018년 02월 13일,2018년 03월 06일,아니오,월 1회,3개월,아니요
송성희,남,010-6524-5951,40,82,81,0,2018년 02월 20일,2018년 03월 10일,아니오,월 2회,0개월,아니요
조설희,여성,010-4876-7914,,63,53,174,2018년 01월 06일,2018년 04월 15일,아니오,주 2회,0개월,아니요
김동은,Male,010-2771-1134,33,81,73,173,2018년 01월 09일,2018년 01월 09일,아니오,월 2회,0개월,아니요
최승윤,여성,010-3486-4922,38,61,51,168,2018년 01월 04일,2018년 04월 03일,아니오,주 1회,0개월,아니요
백지율,여성,010-6325-6676,21,60 kg,52 kg,169,2018년 01월 08일,2018년 01월 08일,아니오,주 1회,3개월,아니요
양태연,남성,010-9587-2574,33,82,77,171,2018년 02월 21일,2018년 03월 22일,예,주 2회,3개월,예
이지민,FEMALE,01012344611,28,57,55,173,2018년 02월 07일,2018년 04월 18일,예,월 1회,0개월,아니요
한예준,남성,010-4445-4228,34,81 kg,76 kg,176,2018년 01월 22일,2018년 01월 22일,아니오,주 1회,3개월,아니요
손채솔,여성,010-3165-3123,29,65,61,166,2018년 02월 17일,2018년 05월 12일,아니오,월 2회,3개월,아니요
박채은,여성,unknown,30,59,56,161,2018년 01월 07일,2018년 01월 07일,아니오,월 1회,0개월,아니요
황송혁,남성,010-7229-6498,,79,74,176,2018년 01월 29일,2018년 01월 29일,예,안 마심,0개월,아니요
허준성,남,01046923597,33,78,69,169,2018년 02월 04일,2018년 02월 04일,아니오,안 마심,0개월,아니요
고소연,여성,010-8811-9125,29,57kg,55kg,162,2018년 01월 23일,2018년 01월 23일,예,월 2회,3개월,아니요
손도윤,Male,010-5568-8383,33,80,72,174,2018년 01월 09일,2018년 01월 09일,아니오,주 2회,3개월,예
장준영,남성,010-2461-7813,42,0,0,172,2018년 02월 02일,2018년 03월 20일,아니오,월 2회,0개월,아니요
문인태,남,010-1483-2265,31 세,78kg,69kg,182,2018년 01월 04일,2018년 01월 29일,예,주 1회,0개월,아니요
장초영,female,01088138294,29,58,49,169,2018년 02월 10일,2018년 02월 10일,아니오,월 2회,0개월,아니요
서시율,남,010-4231-5793,34,81,72,182,2018년 02월 28일,2018년 02월 28일,아니오,월 2회,3개월,아니요
조채하,여,unknown,26,59,52,167,2018년 02월 27일,2018년 02월 27일,아니오,안 마심,6개월,아니요
류윤찬,male,010-7889-8322,28,77,73,172,2018년 02월 19일,2018년 04월 13일,아니오,주 1회,3개월,아니요
조서빈,남성,01045634847,38,80kg,72kg,175,2018년 01월 02일,2018년 01월 02일,아니오,월 2회,0개월,아니요
김유신,남성,010-6959-9162,31,82kg,77kg,180,2018년 01월 10일,2018년 01월 10일,아니오,주 1회,0개월,아니요
임민승,남성,01072537394,36,0,0,179,2018년 02월 11일,2018년 02월 11일,아니오,월 2회,3개월,아니요
오재성,남,01085184562,26,86,77,182,2018년 02월 04일,2018년 04월 12일,아니오,월 2회,3개월,아니요
전슬민,여성,01064371254,29,56,55,175,2018년 02월 02일,2018년 02월 02일,아니오,월 2회,0개월,아니요
윤대은,Male,01089399961,,79 kg,70 kg,181cm,2018년 01월 21일,2018년 03월 24일,아니오,주 2회,3개월,아니요
고서준,남성,010-8256-2627,34,79,75,169 cm,2018년 01월 01일,2018년 01월 01일,아니오,안 마심,0개월,아니요
고윤찬,남성,010-9241-1372,35,78kg,68kg,181 cm,2018년 02월 07일,2018년 02월 07일,아니오,월 2회,0개월,아니요
안아준,남,010-2248-1721,33세,80,73,180,2018년 02월 19일,2018년 04월 11일,아니오,주 1회,3개월,아니요
신성민,남성,01052179845,,79 kg,75 kg,172cm,2018년 02월 19일,2018년 02월 19일,아니오,주 1회,6개월,아니요
이승혁,남성,01062622861,36,80,73,167,2018년 01월 20일,2018년 01월 20일,아니오,주 1회,0개월,아니요
한현준,남,010-6865-3589,43,81,72,183,2018년 02월 23일,2018년 02월 23일,아니오,월 1회,0개월,아니요
서준일,남성,010-5867-8999,35,73,72,174,2018년 02월 26일,2018년 02월 26일,아니오,월 1회,0개월,예
이주호,남,01021746617,38,81,76,0,2018년 01월 23일,2018년 01월 23일,아니오,주 1회,0개월,아니요
신윤찬,male,010-6521-4588,36,80,78,177,2018년 01월 27일,2018년 04월 06일,아니오,월 2회,3개월,아니요
유은률,남성,010-7694-2813,31,81,75,174 cm,2018년 01월 19일,2018년 01월 19일,아니오,주 1회,6개월,아니요
문세영,여성,010-8666-2217,36,57,56,171,2018년 01월 19일,2018년 01월 19일,예,월 2회,0개월,아니요
박동우,남성,010-9161-6782,31,74kg,68kg,174cm,2018년 01월 21일,2018년 01월 21일,아니오,주 2회,0개월,아니요
안승완,male,010-8972-5886,27,78,72,179,2018년 02월 05일,2018년 03월 20일,아니오,월 2회,3개월,아니요
안윤찬,남성,010-9398-4966,32,74,69,0,2018년 01월 09일,2018년 01월 09일,예,월 1회,0개월,아니요
최시준,남,010-2671-9629,33,77,67,181,2018년 01월 25일,2018년 01월 25일,예,월 2회,0개월,아니요
안솔은,여,010-4659-5551,32,55,53,165,2018년 01월 30일,2018년 01월 30일,예,주 1회,0개월,예
송주빈,남성,01067774367,43,80,71,165,2018년 01월 22일,2018년 01월 22일,아니오,주 1회,6개월,아니요
박선아,여,010-9116-5464,34,63,56,169,2018년 01월 11일,2018년 01월 11일,아니오,주 1회,0개월,아니요
조슬비,Female,010-3447-7114,26,0,0,173,2018년 02월 13일,2018년 02월 13일,아니오,월 2회,3개월,아니요
안성윤,남,010-2139-7373,36,78,73,180,2018년 01월 03일,2018년 02월 05일,아니오,월 2회,0개월,아니요
백초윤,여,01054446357,37,0,0,168,2018년 02월 14일,2018년 04월 03일,아니오,주 1회,0개월,예
임대영,남성,unknown,,76,70,167,2018년 01월 02일,2018년 01월 02일,예,주 1회,0개월,아니요
오민규,남성,01032148334,37,81,78,177,2018년 01월 24일,2018년 01월 24일,예,주 1회,0개월,아니요
박초은,여,unknown,35,60,57,176 cm,2018년 01월 10일,2018년 01월 10일,아니오,월 2회,0개월,아니요
권윤수,남성,01072662363,,84,78,174,2018년 02월 22일,2018년 02월 22일,아니오,월 1회,0개월,아니요
박지예,여,010-7242-5949,32,59,53,0,2018년 01월 02일,2018년 03월 14일,예,주 1회,0개월,예
송대환,male,010-2669-6299,33,0,0,0,2018년 01월 29일,2018년 03월 01일,아니오,월 2회,0개월,아니요
김태윤,male,01058541515,43,76,69,173,2018년 01월 15일,2018년 01월 15일,아니오,월 2회,0개월,예
윤우진,남성,01083143597,28,76,73,182,2018년 01월 13일,2018년 01월 13일,아니오,월 1회,0개월,아니요
신승완,male,010-7524-2294,37세,82,79,176 cm,2018년 01월 19일,2018년 01월 19일,아니오,안 마심,0개월,아니요
손슬은,여성,010-2951-3858,28,0,0,0,2018년 01월 10일,2018년 03월 17일,예,월 2회,0개월,아니요
손세희,여성,010-5891-7158,31,63,54,175,2018년 01월 27일,2018년 01월 27일,아니오,주 2회,0개월,아니요
박초빈,여,unknown,33세,62,60,174,2018년 01월 19일,2018년 01월 19일,아니오,월 2회,0개월,아니요
박설민,여성,010-4659-7359,29,64,58,165,2018년 01월 03일,2018년 04월 02일,아니오,월 1회,0개월,아니요
송솔윤,여성,01062191843,31,61,53,158,2018년 01월 12일,2018년 01월 12일,아니오,월 2회,3개월,아니요
한유현,남성,010-4683-8531,26,145,135,174,2018년 01월 18일,2018년 01월 18일,아니오,월 1회,0개월,아니요
손수인,여,010-2653-3482,,64,60,158cm,2018년 01월 25일,2018년 01월 25일,예,월 1회,0개월,아니요
양원준,male,010-8299-4649,23,82,81,171,2018년 01월 29일,2018년 02월 16일,아니오,월 2회,0개월,아니요
유슬희,여성,010-9123-9115,35,61,54,158,2018년 02월 23일,2018년 02월 23일,아니오,주 1회,0개월,아니요
전승현,남성,010-2575-6256,33 세,78,69,182,2018년 02월 18일,2018년 02월 18일,예,월 2회,0개월,아니요
신시우,남,010-9781-2384,31,0,0,167,2018년 01월 18일,2018년 01월 23일,아니오,월 1회,0개월,예
유서진,male,010-2516-3923,,80,79,166,2018년 02월 07일,2018년 02월 07일,아니오,월 2회,0개월,아니요
김윤후,남성,010-8267-1414,33,83kg,82kg,178,2018년 02월 22일,2018년 02월 22일,아니오,월 2회,0개월,아니요
조도원,남,010-8449-3578,29,0,0,177,2018년 01월 21일,2018년 01월 25일,예,주 1회,0개월,아니요
조윤 채,남,unknown,37,80,71,181,2018년 02월 12일,2018년 02월 12일,아니오,월 1회,0개월,예
유성율,남성,01036938631,33,77kg,69kg,177,2018년 01월 20일,2018년 01월 20일,아니오,월 2회,0개월,아니요
정도윤,남성,010-6365-1136,41,81,73,163,2018년 02월 26일,2018년 02월 26일,아니오,안 마심,0개월,예
홍세은,여성,010-8123-1797,27,68 kg,63 kg,0,2018년 02월 10일,2018년 05월 14일,아니오,주 1회,0개월,아니요
장재찬,Male,010-7387-3189,30,79,78,182,2018년 02월 17일,2018년 03월 28일,예,월 2회,0개월,아니요
임효성,남성,01018382944,26,0,0,181,2018년 01월 10일,2018년 01월 10일,아니오,월 1회,0개월,아니요
강수혁,남성,01061929714,34,80kg,71kg,0,2018년 02월 15일,2018년 02월 15일,예,월 2회,12개월,아니요
조지혜,FEMALE,01097116425,24,62,56,172,2018년 02월 09일,2018년 02월 09일,아니오,주 1회,0개월,예
임채민,남성,01049841924,32,81,79,177,2018년 02월 28일,2018년 02월 28일,아니오,주 1회,3개월,아니요
장준원,male,010-6513-8822,35,79,72,0,2018년 02월 04일,2018년 02월 04일,아니오,주 1회,3개월,아니요
송유성,남,010-9993-3857,34,85,79,175,2018년 01월 16일,2018년 01월 16일,예,주 2회,0개월,아니요
양유찬,male,01021293653,33,0,0,108,2018년 02월 10일,2018년 02월 10일,아니오,주 1회,3개월,아니요
임윤일,남성,unknown,34,77 kg,71 kg,171,2018년 02월 12일,2018년 02월 12일,예,안 마심,0개월,아니요
양설민,Female,010-1362-9877,37,57,54,166,2018년 02월 11일,2018년 02월 11일,아니오,주 2회,3개월,아니요
김소정,여,010-4473-1936,18,61,53,0,2018년 01월 10일,2018년 02월 06일,아니오,월 2회,0개월,아니요
류설안,여성,01037664667,30,67 kg,65 kg,0,2018년 01월 06일,2018년 01월 06일,아니오,주 2회,0개월,아니요
서솔희,FEMALE,01012993237,27,59,49,158,2018년 01월 11일,2018년 04월 06일,아니오,주 1회,0개월,아니요
홍현우,남성,010-6775-8513,30,82,73,176,2018년 01월 15일,2018년 01월 15일,아니오,주 1회,0개월,아니요
서지율,여성,010-1536-9595,36,58,57,166,2018년 02월 28일,2018년 02월 28일,아니오,월 2회,0개월,아니요
신세현,여성,01057374611,38,56,52,175cm,2018년 01월 02일,2018년 01월 02일,아니오,월 2회,0개월,아니요
